shelfarea,distancetoexit,cannedgoods,othergoods,icecream,floordiff,traveltime,ftewovertime
71.77,2841.73,809.3531558,809.3531558,0,0,0,35760
71.77,2841.73,706.9814052,706.9814052,0,0,0,24240
71.77,2841.73,201.9315046,201.9315046,0,0,0,12720
71.77,2841.73,262.2888648,262.2888648,0,0,0,24240
71.77,2841.73,502.1359379,502.1359379,0,0,0,24240
71.77,2841.73,193.4606655,193.4606655,0,0,0,24240
71.77,2841.73,308.3568661,308.3568661,0,0,0,24240
71.77,2841.73,686.1073788,686.1073788,0,0,0,24240
71.77,2841.73,185.609583,185.609583,0,0,0,24240
71.77,2841.73,637.1943853,637.1943853,0,0,0,35760
71.77,2841.73,596.4337331,596.4337331,0,0,0,24240
71.77,2841.73,812.8607603,812.8607603,0,0,0,24240
71.77,2841.73,485.5660157,485.5660157,0,0,0,24240
71.77,2841.73,247.7153567,247.7153567,0,0,0,24240
71.77,2841.73,434.2631041,434.2631041,0,0,0,24240
71.77,2841.73,565.3595692,565.3595692,0,0,0,24240
71.77,2841.73,288.3767292,288.3767292,0,0,0,24240
71.77,2841.73,716.0008939,716.0008939,0,0,0,24240
71.77,2841.73,99.5002967,99.5002967,0,0,0,24240
71.77,2841.73,220.9801913,220.9801913,0,0,0,24240
71.77,2841.73,1041.323459,1041.323459,0,0,0,35760
71.77,2841.73,797.7155681,797.7155681,0,0,0,24240
71.77,2841.73,363.008843,363.008843,0,0,0,24240
71.77,2841.73,397.0980877,397.0980877,0,0,0,24240
71.77,2841.73,502.9920466,502.9920466,0,0,0,24240
71.77,2841.73,619.9039241,619.9039241,0,0,0,24240
71.77,2841.73,619.9039241,619.9039241,0,0,0,24240
71.77,2841.73,470.4853483,470.4853483,0,0,0,24240
71.77,2841.73,665.7969366,665.7969366,0,0,0,24240
71.77,2841.73,452.9371224,452.9371224,0,0,0,24240
71.77,2841.73,265.322268,265.322268,0,0,0,24240
71.77,2841.73,586.254462,586.254462,0,0,0,24240
71.77,2841.73,180.6546099,180.6546099,0,0,0,24240
71.77,2841.73,667.426416,667.426416,0,0,0,24240
71.77,2841.73,436.1092386,436.1092386,0,0,0,24240
71.77,2841.73,614.5516684,614.5516684,0,0,0,24240
71.77,2841.73,219.8806909,219.8806909,0,0,0,24240
71.77,2841.73,382.0476182,382.0476182,0,0,0,24240
71.77,2841.73,454.9129455,454.9129455,0,0,0,24240
71.77,2841.73,1129.907811,1129.907811,0,0,0,35760
71.77,2841.73,311.7709665,311.7709665,0,0,0,24240
71.77,2841.73,445.392863,445.392863,0,0,0,24240
71.77,2841.73,411.0418447,411.0418447,0,0,0,24240
71.77,2841.73,555.6585919,555.6585919,0,0,0,24240
71.77,2841.73,427.3182876,427.3182876,0,0,0,24240
71.77,2841.73,298.9052676,298.9052676,0,0,0,24240
71.77,2841.73,342.127125,342.127125,0,0,0,24240
71.77,2841.73,436.1092386,436.1092386,0,0,0,24240
71.77,2841.73,420.5752964,420.5752964,0,0,0,24240
71.77,2841.73,283.2125569,283.2125569,0,0,0,24240
71.77,2841.73,176.5757869,176.5757869,0,0,0,24240
71.77,2841.73,831.2026572,831.2026572,0,0,0,35760
71.77,2841.73,146.3660337,146.3660337,0,0,0,35760
71.77,2841.73,650.0323642,650.0323642,0,0,0,24240
71.77,2841.73,344.5445795,344.5445795,0,0,0,24240
71.77,2841.73,851.1776492,851.1776492,0,0,0,35760
71.77,2841.73,1093.147738,1093.147738,0,0,0,35760
71.77,2841.73,712.7011232,712.7011232,0,0,0,24240
71.77,2841.73,2550.394161,2550.394161,0,0,0,58800
71.77,2841.73,67.38192506,67.38192506,0,0,0,24240
71.77,2841.73,293.8756196,293.8756196,0,0,0,24240
71.77,2841.73,153.8369471,153.8369471,0,0,0,24240
71.77,2841.73,806.8802315,806.8802315,0,0,0,24240
71.77,2841.73,423.7298764,423.7298764,0,0,0,24240
71.77,2841.73,515.9985533,515.9985533,0,0,0,24240
71.77,2841.73,271.3567519,271.3567519,0,0,0,24240
71.77,2841.73,631.2583017,631.2583017,0,0,0,35760
71.77,2841.73,725.8003327,725.8003327,0,0,0,35760
71.77,2841.73,150.8928138,150.8928138,0,0,0,24240
71.77,2841.73,925.5396168,925.5396168,0,0,0,35760
71.77,2841.73,456.7175943,456.7175943,0,0,0,24240
71.77,2841.73,309.8203709,309.8203709,0,0,0,24240
71.77,2841.73,762.4387737,762.4387737,0,0,0,24240
71.77,2841.73,751.3939399,751.3939399,0,0,0,24240
71.77,2841.73,800.5985539,800.5985539,0,0,0,24240
71.77,2841.73,204.3451889,204.3451889,0,0,0,24240
